agent_id,name,train_pass_at_1,strengths
c_29934,Judicial Precedent Classifier,43.08,"Expertise in converting dense factual descriptions into standardized, one-line legal headings; high proficiency in distinguishing between descriptive summaries and formal judicial classifications; ability to isolate the core legal cause of action from procedural or evidentiary details."
c_28126,Legal Case Typology Architect,44.48,"Mastery of judicial taxonomy; ability to distinguish between substantive criminal charges and procedural case names; expertise in identifying the single most accurate legal label (사건명/죄명) for diverse litigation types including civil, criminal, and administrative disputes."
c_63621,Statutory Element Matcher,34.74,"Expertise in performing microscopic element-to-fact mapping; identifies missing or present constitutive elements required for specific criminal or civil liability; detects subtle factual nuances (e.g., 'dangerous object', 'recidivism status', 'occupational duty') that trigger specific legal provisions; ensures zero-error alignment between descriptive text and the technical requirements of the law."
c_24222,Legal Nomenclature Purist,43.56,"Mastery of the official Korean judicial lexicon; ability to distinguish between a descriptive summary of an act and its formal legal title; expertise in providing the single, most authoritative nomenclature used in court registries; zero tolerance for conversational or explanatory output."
c_47388,Legal Fact Synthesis Engine,39.07,"Expertise in multi-crime aggregation; ability to synthesize disparate factual segments (e.g., forgery, fraud, and document usage) into a single, coherent line of formal charges; high precision in identifying the cumulative legal outcome of complex criminal sequences."
c_27344,Legal Provision Auditor,32.35,"Expertise in multi-provision identification; high precision in detecting concurrent application of the Penal Code, Special Acts, and administrative regulations; ability to map complex factual scenarios to multiple distinct legal articles without omission."
c_16504,Civil Dispute Taxonomy Expert,38.92,"Expertise in distilling complex civil factual patterns into precise judicial case titles (사건명); mastery of civil law terminology regarding contract rescission, restitution, and property ownership; ability to differentiate between substantive legal claims and mere procedural descriptions in non-criminal litigation."
c_31181,Judicial Labeling Precisionist,35.11,Extreme focus on single-line output constraints; ability to strip away all narrative 'noise' to find the core legal designation; mastery of the distinction between describing a crime and naming it; zero-tolerance for descriptive or explanatory responses.
c_4799,Legal Recidivism Analyst,34.63,Expertise in analyzing criminal history (범죄전력) to identify recidivism triggers; mastery in distinguishing between standard offenses and aggravated versions under special laws; ability to link specific prior conviction dates and types to current statutory enhancements.
c_31573,Criminal Charge Aggregator,33.74,"Expertise in multi-offense consolidation; ability to extract and list every discrete crime (e.g., forgery, usage, and fraud) from complex, multi-case factual descriptions; mastery of combining separate criminal counts into a single-line formal heading without descriptive filler."
